price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,fake_address,fake_zip_code
8400000,7950,5,2,2,1,0,1,1,0,2,0,0.0,1075 Crowchild Tr SW,T2E 107
8400000,5500,4,2,2,1,0,1,0,1,1,1,0.5,1207 Elbow Dr SW,T3E 876
8400000,7475,3,2,4,1,0,0,0,1,2,0,0.5,1513 Northmount Dr NW,T3E 104
8400000,7000,3,1,4,1,0,0,0,1,2,0,0.5,1104 Elbow Dr SW,T3E 396
8295000,4880,4,2,2,1,0,0,0,1,1,1,1.0,1866 Crowchild Tr SW,T2E 711
8190000,5960,3,3,2,1,1,1,0,0,1,0,0.5,1401 Crowchild Tr SW,T2S 045
8120000,6840,5,1,2,1,1,1,0,1,1,0,1.0,1471 Elbow Dr SW,T2G 246
8080940,7000,3,2,4,1,0,0,0,1,2,0,1.0,1660 Elbow Dr SW,T2G 284
8043000,7482,3,2,3,1,0,0,1,0,1,1,1.0,1676 Elbow Dr SW,T2L 752
7980000,9000,4,2,4,1,0,0,0,1,2,0,1.0,1153 Macleod Tr SE,T2S 801
7962500,6000,3,1,4,1,1,0,0,1,2,0,0.5,1299 Macleod Tr SE,T2L 357
7910000,6000,4,2,4,1,0,0,0,1,1,0,0.5,1252 Centre St N,T2L 099
7875000,6550,3,1,2,1,0,1,0,1,0,1,1.0,1387 Macleod Tr SE,T2E 768
7840000,6360,3,2,4,1,0,0,0,1,0,1,0.5,1877 Elbow Dr SW,T2G 795
7700000,6480,3,2,4,1,0,0,0,1,2,0,0.5,1342 Macleod Tr SE,T2G 178
7700000,6000,4,2,4,1,0,0,0,0,2,0,0.5,1756 Northmount Dr NW,T2E 043
7560000,6000,4,2,4,1,0,0,0,1,1,0,0.5,1987 Centre St N,T2E 884
7560000,6000,3,2,3,1,0,0,0,1,0,0,0.5,1089 Macleod Tr SE,T3E 890
7525000,6000,3,2,4,1,0,0,0,1,1,0,1.0,1066 Northmount Dr NW,T2S 620
7490000,6600,3,1,4,1,0,0,0,1,3,1,1.0,1872 Centre St N,T2G 971
7455000,4300,3,2,2,1,0,1,0,0,1,0,0.0,1917 Macleod Tr SE,T2S 208
7420000,7440,3,2,1,1,1,1,0,1,0,1,0.5,1201 Elbow Dr SW,T2G 213
7420000,7440,3,2,4,1,0,0,0,0,1,1,0.0,1814 Northmount Dr NW,T2E 593
7420000,6325,3,1,4,1,0,0,0,1,1,0,0.0,1100 Northmount Dr NW,T3E 165
7350000,6000,4,2,4,1,1,0,0,1,1,0,1.0,1064 Centre St N,T2L 932
7350000,5150,3,2,4,1,0,0,0,1,2,0,0.5,1139 Centre St N,T2E 078
7350000,6000,3,2,2,1,1,0,0,1,1,0,0.5,1008 Crowchild Tr SW,T2E 543
7350000,6000,3,1,2,1,0,0,0,1,1,0,0.5,1972 Northmount Dr NW,T2E 902
7343000,11440,4,1,2,1,0,1,0,0,1,1,0.5,1469 Macleod Tr SE,T2G 781
7245000,9000,4,2,4,1,1,0,0,1,1,1,0.5,1228 Macleod Tr SE,T2S 615
7210000,7680,4,2,4,1,1,0,0,1,1,0,0.5,1179 Northmount Dr NW,T2G 880
7210000,6000,3,2,4,1,1,0,0,1,1,0,1.0,1039 Macleod Tr SE,T3E 179
7140000,6000,3,2,2,1,1,0,0,0,1,0,0.5,1520 Macleod Tr SE,T2S 518
7070000,8880,2,1,1,1,0,0,0,1,1,0,0.5,1703 Centre St N,T3E 663
7070000,6240,4,2,2,1,0,0,0,1,1,0,1.0,1323 Crowchild Tr SW,T2S 188
7035000,6360,4,2,3,1,0,0,0,1,2,1,0.5,1697 Macleod Tr SE,T2S 813
7000000,11175,3,1,1,1,0,1,0,1,1,1,0.5,1404 Northmount Dr NW,T2G 619
6930000,8880,3,2,2,1,0,1,0,1,1,0,0.5,1948 Crowchild Tr SW,T2L 707
6930000,13200,2,1,1,1,0,1,1,0,1,0,1.0,1901 Centre St N,T2L 693
6895000,7700,3,2,1,1,0,0,0,0,2,0,0.0,1197 Centre St N,T2L 866
6860000,6000,3,1,1,1,0,0,0,1,1,0,1.0,1653 Macleod Tr SE,T2S 184
6790000,12090,4,2,2,1,0,0,0,0,2,1,1.0,1330 Centre St N,T2L 035
6790000,4000,3,2,2,1,0,1,0,1,0,1,0.5,1583 Macleod Tr SE,T2E 767
6755000,6000,4,2,4,1,0,0,0,1,0,0,0.0,1746 Northmount Dr NW,T2E 796
6720000,5020,3,1,4,1,0,0,0,1,0,1,0.5,1758 Macleod Tr SE,T2G 592
6685000,6600,2,2,4,1,0,1,0,0,0,1,1.0,1038 Centre St N,T3E 232
6650000,4040,3,1,2,1,0,1,1,0,1,0,1.0,1220 Elbow Dr SW,T2L 374
6650000,4260,4,2,2,1,0,0,1,0,0,0,0.5,1721 Crowchild Tr SW,T2L 228
6650000,6420,3,2,3,1,0,0,0,1,0,1,1.0,1339 Crowchild Tr SW,T2L 181
6650000,6500,3,2,3,1,0,0,0,1,0,1,1.0,1832 Centre St N,T2L 909
6650000,5700,3,1,1,1,1,1,0,1,2,1,0.5,1197 Elbow Dr SW,T2G 683
6650000,6000,3,2,3,1,1,0,0,1,0,0,0.5,1767 Centre St N,T3E 024
6629000,6000,3,1,2,1,0,0,1,0,1,1,0.5,1357 Crowchild Tr SW,T3E 383
6615000,4000,3,2,2,1,0,1,0,1,1,0,0.5,1716 Crowchild Tr SW,T2S 660
6615000,10500,3,2,1,1,0,1,0,1,1,1,1.0,1133 Elbow Dr SW,T2G 532
6580000,6000,3,2,4,1,0,0,0,1,0,0,0.5,1001 Macleod Tr SE,T2S 277
6510000,3760,3,1,2,1,0,0,1,0,2,0,0.5,1131 Macleod Tr SE,T2L 320
6510000,8250,3,2,3,1,0,0,0,1,0,0,1.0,1791 Elbow Dr SW,T2S 858
6510000,6670,3,1,3,1,0,1,0,0,0,1,0.5,1044 Crowchild Tr SW,T2G 834
6475000,3960,3,1,1,1,0,1,0,0,2,0,0.5,1498 Centre St N,T3E 690
6475000,7410,3,1,1,1,1,1,0,1,2,1,0.5,1323 Elbow Dr SW,T2E 903
6440000,8580,5,3,2,1,0,0,0,0,2,0,1.0,1542 Centre St N,T3E 879
6440000,5000,3,1,2,1,0,0,0,1,0,0,0.5,1098 Crowchild Tr SW,T2S 409
6419000,6750,2,1,1,1,1,1,0,0,2,1,0.5,1942 Centre St N,T2E 954
6405000,4800,3,2,4,1,1,0,0,1,0,0,1.0,1106 Crowchild Tr SW,T2S 796
6300000,7200,3,2,1,1,0,1,0,1,3,0,0.5,1749 Centre St N,T2G 497
6300000,6000,4,2,4,1,0,0,0,0,1,0,0.5,1674 Centre St N,T2S 296
6300000,4100,3,2,3,1,0,0,0,1,2,0,0.5,1622 Northmount Dr NW,T2G 520
6300000,9000,3,1,1,1,0,1,0,0,1,1,1.0,1773 Northmount Dr NW,T2S 370
6300000,6400,3,1,1,1,1,1,0,1,1,1,0.5,1238 Northmount Dr NW,T2S 875
6293000,6600,3,2,3,1,0,0,0,1,0,1,0.5,1269 Macleod Tr SE,T2G 777
6265000,6000,4,1,3,1,1,1,0,0,0,1,0.5,1412 Elbow Dr SW,T2G 722
6230000,6600,3,2,1,1,0,1,0,1,0,1,0.0,1022 Macleod Tr SE,T2E 062
6230000,5500,3,1,3,1,0,0,0,0,1,1,0.0,1895 Crowchild Tr SW,T2L 484
6195000,5500,3,2,4,1,1,0,0,1,1,0,0.5,1493 Macleod Tr SE,T3E 369
6195000,6350,3,2,3,1,1,0,0,1,0,0,1.0,1976 Northmount Dr NW,T3E 633
6195000,5500,3,2,1,1,1,1,0,0,2,1,0.5,1764 Centre St N,T3E 186
6160000,4500,3,1,4,1,0,0,0,1,0,0,0.0,1029 Elbow Dr SW,T2G 041
6160000,5450,4,2,1,1,0,1,0,1,0,1,0.5,1905 Elbow Dr SW,T2L 780
6125000,6420,3,1,3,1,0,1,0,0,0,1,0.0,1514 Macleod Tr SE,T2L 521
6107500,3240,4,1,3,1,0,0,0,0,1,0,0.5,1055 Centre St N,T2G 835
6090000,6615,4,2,2,1,1,0,1,0,1,0,0.5,1670 Northmount Dr NW,T2E 171
6090000,6600,3,1,1,1,1,1,0,0,2,1,0.5,1903 Macleod Tr SE,T2S 292
6090000,8372,3,1,3,1,0,0,0,1,2,0,0.0,1417 Centre St N,T2L 176
6083000,4300,6,2,2,1,0,0,0,0,0,0,0.5,1216 Crowchild Tr SW,T2S 154
6083000,9620,3,1,1,1,0,1,0,0,2,1,0.5,1396 Elbow Dr SW,T2G 152
6020000,6800,2,1,1,1,1,1,0,0,2,0,1.0,1917 Macleod Tr SE,T2L 578
6020000,8000,3,1,1,1,1,1,0,1,2,1,0.5,1143 Crowchild Tr SW,T2G 599
6020000,6900,3,2,1,1,1,1,0,0,0,1,0.0,1218 Crowchild Tr SW,T3E 220
5950000,3700,4,1,2,1,1,0,0,1,0,0,1.0,1769 Centre St N,T2S 322
5950000,6420,3,1,1,1,0,1,0,1,0,1,0.5,1563 Macleod Tr SE,T2L 420
5950000,7020,3,1,1,1,0,1,0,1,2,1,0.5,1334 Elbow Dr SW,T2E 015
5950000,6540,3,1,1,1,1,1,0,0,2,1,1.0,1932 Centre St N,T2S 723
5950000,7231,3,1,2,1,1,1,0,1,0,1,0.5,1435 Northmount Dr NW,T2L 803
5950000,6254,4,2,1,1,0,1,0,0,1,1,0.5,1265 Crowchild Tr SW,T2L 314
5950000,7320,4,2,2,1,0,0,0,0,0,0,1.0,1403 Northmount Dr NW,T2L 104
5950000,6525,3,2,4,1,0,0,0,0,1,0,1.0,1706 Northmount Dr NW,T3E 297
5943000,15600,3,1,1,1,0,0,0,1,2,0,0.5,1326 Elbow Dr SW,T2L 781
5880000,7160,3,1,1,1,0,1,0,0,2,1,0.0,1970 Macleod Tr SE,T2S 292
5880000,6500,3,2,3,1,0,0,0,1,0,0,0.5,1650 Elbow Dr SW,T2S 251
5873000,5500,3,1,3,1,1,0,0,1,1,0,0.5,1106 Centre St N,T3E 638
5873000,11460,3,1,3,1,0,0,0,0,2,1,0.5,1184 Elbow Dr SW,T2S 877
5866000,4800,3,1,1,1,1,1,0,0,0,0,0.0,1322 Crowchild Tr SW,T2S 839
5810000,5828,4,1,4,1,1,0,0,0,0,0,0.5,1882 Macleod Tr SE,T2L 830
5810000,5200,3,1,3,1,0,0,0,1,0,0,0.5,1577 Centre St N,T2L 282
5810000,4800,3,1,3,1,0,0,0,1,0,0,0.0,1613 Centre St N,T2E 269
5803000,7000,3,1,1,1,0,1,0,0,2,1,0.5,1440 Northmount Dr NW,T2L 395
5775000,6000,3,2,4,1,0,0,0,1,0,0,0.0,1632 Elbow Dr SW,T2S 457
5740000,5400,4,2,2,1,0,0,0,1,2,0,0.5,1657 Northmount Dr NW,T2G 184
5740000,4640,4,1,2,1,0,0,0,0,1,0,0.5,1258 Elbow Dr SW,T3E 890
5740000,5000,3,1,3,1,0,0,0,1,0,0,0.5,1513 Elbow Dr SW,T2E 710
5740000,6360,3,1,1,1,1,1,0,1,2,1,1.0,1809 Elbow Dr SW,T2E 437
5740000,5800,3,2,4,1,0,0,0,1,0,0,0.0,1839 Elbow Dr SW,T2G 356
5652500,6660,4,2,2,1,1,1,0,0,1,1,0.5,1713 Northmount Dr NW,T2S 939
5600000,10500,4,2,2,1,0,0,0,0,1,0,0.5,1665 Centre St N,T2G 115
5600000,4800,5,2,3,0,0,1,1,0,0,0,0.5,1859 Centre St N,T2L 380
5600000,4700,4,1,2,1,1,1,0,1,1,0,1.0,1509 Northmount Dr NW,T3E 779
5600000,5000,3,1,4,1,0,0,0,0,0,0,1.0,1437 Crowchild Tr SW,T2G 427
5600000,10500,2,1,1,1,0,0,0,0,1,0,0.5,1808 Elbow Dr SW,T3E 675
5600000,5500,3,2,2,1,0,0,0,0,1,0,0.5,1133 Crowchild Tr SW,T2G 913
5600000,6360,3,1,3,1,0,0,0,0,0,1,0.5,1920 Crowchild Tr SW,T2E 667
5600000,6600,4,2,1,1,0,1,0,0,0,1,0.5,1772 Macleod Tr SE,T3E 909
5600000,5136,3,1,2,1,1,1,0,1,0,1,0.0,1964 Northmount Dr NW,T3E 918
5565000,4400,4,1,2,1,0,0,0,1,2,1,0.5,1681 Northmount Dr NW,T3E 304
5565000,5400,5,1,2,1,1,1,0,1,0,1,1.0,1147 Macleod Tr SE,T2E 805
5530000,3300,3,3,2,1,0,1,0,0,0,0,0.5,1794 Elbow Dr SW,T2E 948
5530000,3650,3,2,2,1,0,0,0,0,2,0,0.5,1463 Macleod Tr SE,T2G 875
5530000,6100,3,2,1,1,0,1,0,0,2,1,1.0,1728 Elbow Dr SW,T2L 785
5523000,6900,3,1,1,1,1,1,0,0,0,1,0.5,1880 Elbow Dr SW,T2G 197
5495000,2817,4,2,2,0,1,1,0,0,1,0,1.0,1601 Macleod Tr SE,T2E 825
5495000,7980,3,1,1,1,0,0,0,0,2,0,0.5,1672 Macleod Tr SE,T2G 143
5460000,3150,3,2,1,1,1,1,0,1,0,0,1.0,1384 Crowchild Tr SW,T2E 987
5460000,6210,4,1,4,1,1,0,0,1,0,0,1.0,1005 Centre St N,T2E 779
5460000,6100,3,1,3,1,1,0,0,1,0,1,0.5,1479 Macleod Tr SE,T2E 212
5460000,6600,4,2,2,1,1,1,0,0,0,1,0.5,1455 Crowchild Tr SW,T2S 458
5425000,6825,3,1,1,1,1,1,0,1,0,1,0.5,1673 Macleod Tr SE,T3E 666
5390000,6710,3,2,2,1,1,1,0,0,1,1,1.0,1105 Macleod Tr SE,T2S 606
5383000,6450,3,2,1,1,1,1,1,0,0,0,0.5,1592 Crowchild Tr SW,T2G 291
5320000,7800,3,1,1,1,0,1,0,1,2,1,0.5,1942 Macleod Tr SE,T2G 024
5285000,4600,2,2,1,1,0,0,0,1,2,0,0.5,1826 Macleod Tr SE,T2L 359
5250000,4260,4,1,2,1,0,1,0,1,0,0,0.5,1668 Elbow Dr SW,T3E 826
5250000,6540,4,2,2,0,0,0,0,1,0,0,0.5,1185 Elbow Dr SW,T2E 476
5250000,5500,3,2,1,1,0,1,0,0,0,0,0.5,1521 Macleod Tr SE,T2E 585
5250000,10269,3,1,1,1,0,0,0,0,1,1,0.5,1096 Crowchild Tr SW,T2L 647
5250000,8400,3,1,2,1,1,1,0,1,2,1,0.0,1978 Elbow Dr SW,T2E 623
5250000,5300,4,2,1,1,0,0,0,1,0,1,0.0,1845 Northmount Dr NW,T3E 559
5250000,3800,3,1,2,1,1,1,0,0,1,1,0.0,1911 Centre St N,T2S 672
5250000,9800,4,2,2,1,1,0,0,0,2,0,0.5,1836 Macleod Tr SE,T2S 564
5250000,8520,3,1,1,1,0,0,0,1,2,0,1.0,1936 Crowchild Tr SW,T2S 087
5243000,6050,3,1,1,1,0,1,0,0,0,1,0.5,1684 Northmount Dr NW,T2L 182
5229000,7085,3,1,1,1,1,1,0,0,2,1,0.5,1923 Elbow Dr SW,T2L 690
5215000,3180,3,2,2,1,0,0,0,0,2,0,0.5,1710 Crowchild Tr SW,T3E 114
5215000,4500,4,2,1,0,0,1,0,1,2,0,0.5,1351 Elbow Dr SW,T2S 413
5215000,7200,3,1,2,1,1,1,0,0,1,1,0.5,1221 Northmount Dr NW,T2L 767
5145000,3410,3,1,2,0,0,0,0,1,0,0,0.5,1118 Elbow Dr SW,T2L 376
5145000,7980,3,1,1,1,0,0,0,0,1,1,0.5,1291 Centre St N,T3E 967
5110000,3000,3,2,2,1,1,1,0,0,0,0,1.0,1594 Macleod Tr SE,T2S 274
5110000,3000,3,1,2,1,0,1,0,0,0,0,0.0,1067 Centre St N,T3E 220
5110000,11410,2,1,2,1,0,0,0,0,0,1,1.0,1382 Elbow Dr SW,T2G 643
5110000,6100,3,1,1,1,0,1,0,1,0,1,0.5,1250 Centre St N,T2E 589
5075000,5720,2,1,2,1,0,0,0,1,0,1,0.5,1741 Crowchild Tr SW,T2L 279
5040000,3540,2,1,1,0,1,1,0,0,0,0,0.5,1853 Macleod Tr SE,T2G 562
5040000,7600,4,1,2,1,0,0,0,1,2,0,1.0,1028 Macleod Tr SE,T2L 191
5040000,10700,3,1,2,1,1,1,0,0,0,0,0.5,1792 Elbow Dr SW,T2E 948
5040000,6600,3,1,1,1,1,1,0,0,0,1,1.0,1739 Centre St N,T2G 228
5033000,4800,2,1,1,1,1,1,0,0,0,0,0.5,1642 Elbow Dr SW,T2E 277
5005000,8150,3,2,1,1,1,1,0,0,0,0,0.5,1953 Northmount Dr NW,T2L 544
4970000,4410,4,3,2,1,0,1,0,0,2,0,0.5,1077 Elbow Dr SW,T2S 183
4970000,7686,3,1,1,1,1,1,1,0,0,0,0.5,1923 Crowchild Tr SW,T2L 858
4956000,2800,3,2,2,0,0,1,0,1,1,0,0.5,1733 Elbow Dr SW,T2L 697
4935000,5948,3,1,2,1,0,0,0,1,0,0,0.5,1048 Crowchild Tr SW,T2S 226
4907000,4200,3,1,2,1,0,0,0,0,1,0,1.0,1312 Northmount Dr NW,T2G 427
4900000,4520,3,1,2,1,0,1,0,1,0,0,0.5,1056 Centre St N,T2E 747
4900000,4095,3,1,2,0,1,1,0,1,0,0,0.5,1195 Centre St N,T2E 265
4900000,4120,2,1,1,1,0,1,0,0,1,0,0.5,1163 Centre St N,T2G 170
4900000,5400,4,1,2,1,0,0,0,0,0,0,0.5,1557 Crowchild Tr SW,T2E 276
4900000,4770,3,1,1,1,1,1,0,0,0,0,0.5,1217 Elbow Dr SW,T2L 554
4900000,6300,3,1,1,1,0,0,0,1,2,0,0.5,1107 Crowchild Tr SW,T2E 529
4900000,5800,2,1,1,1,1,1,0,1,0,0,0.5,1850 Macleod Tr SE,T3E 101
4900000,3000,3,1,2,1,0,1,0,1,0,0,0.5,1376 Macleod Tr SE,T2L 985
4900000,2970,3,1,3,1,0,0,0,0,0,0,0.5,1999 Elbow Dr SW,T2G 646
4900000,6720,3,1,1,1,0,0,0,0,0,0,0.5,1417 Crowchild Tr SW,T2S 591
4900000,4646,3,1,2,1,1,1,0,0,2,0,0.5,1804 Crowchild Tr SW,T2G 181
4900000,12900,3,1,1,1,0,0,0,0,2,0,0.5,1039 Crowchild Tr SW,T2E 524
4893000,3420,4,2,2,1,0,1,0,1,2,0,0.5,1836 Elbow Dr SW,T2G 427
4893000,4995,4,2,1,1,0,1,0,0,0,0,0.5,1524 Elbow Dr SW,T2G 988
4865000,4350,2,1,1,1,0,1,0,0,0,0,0.0,1805 Northmount Dr NW,T3E 284
4830000,4160,3,1,3,1,0,0,0,0,0,0,0.0,1834 Centre St N,T2G 151
4830000,6040,3,1,1,1,0,0,0,0,2,1,0.5,1795 Crowchild Tr SW,T2E 898
4830000,6862,3,1,2,1,0,0,0,1,2,1,1.0,1772 Macleod Tr SE,T2E 627
4830000,4815,2,1,1,1,0,0,0,1,0,1,0.5,1071 Macleod Tr SE,T2L 682
4795000,7000,3,1,2,1,0,1,0,0,0,0,0.5,1445 Elbow Dr SW,T3E 007
4795000,8100,4,1,4,1,0,1,0,1,2,0,0.5,1050 Centre St N,T3E 763
4767000,3420,4,2,2,1,0,0,0,0,0,0,0.5,1921 Crowchild Tr SW,T2S 817
4760000,9166,2,1,1,1,0,1,0,1,2,0,0.5,1428 Northmount Dr NW,T2G 456
4760000,6321,3,1,2,1,0,1,0,1,1,0,1.0,1692 Macleod Tr SE,T2L 152
4760000,10240,2,1,1,1,0,0,0,1,2,1,0.0,1356 Elbow Dr SW,T2S 378
4753000,6440,2,1,1,1,0,0,0,1,3,0,0.5,1506 Northmount Dr NW,T3E 629
4690000,5170,3,1,4,1,0,0,0,1,0,0,0.5,1050 Crowchild Tr SW,T3E 339
4690000,6000,2,1,1,1,0,1,0,1,1,0,1.0,1959 Centre St N,T2E 966
4690000,3630,3,1,2,1,0,0,0,0,2,0,0.5,1876 Elbow Dr SW,T2S 075
4690000,9667,4,2,2,1,1,1,0,0,1,0,0.5,1722 Northmount Dr NW,T2S 158
4690000,5400,2,1,2,1,0,0,0,0,0,1,0.5,1793 Macleod Tr SE,T2G 512
4690000,4320,3,1,1,1,0,0,0,0,0,1,0.5,1897 Elbow Dr SW,T3E 974
4655000,3745,3,1,2,1,0,1,0,0,0,0,1.0,1051 Centre St N,T2G 497
4620000,4160,3,1,1,1,1,1,0,1,0,0,0.0,1363 Elbow Dr SW,T2L 336
4620000,3880,3,2,2,1,0,1,0,0,2,0,0.5,1501 Centre St N,T2S 274
4620000,5680,3,1,2,1,1,0,0,1,1,0,0.5,1615 Northmount Dr NW,T2G 962
4620000,2870,2,1,2,1,1,1,0,0,0,1,0.5,1465 Elbow Dr SW,T2L 748
4620000,5010,3,1,2,1,0,1,0,0,0,0,0.5,1247 Crowchild Tr SW,T2L 363
4613000,4510,4,2,2,1,0,1,0,0,0,0,0.5,1376 Macleod Tr SE,T2E 449
4585000,4000,3,1,2,1,0,0,0,0,1,0,1.0,1803 Northmount Dr NW,T2S 485
4585000,3840,3,1,2,1,0,0,0,0,1,1,0.5,1584 Elbow Dr SW,T2G 955
4550000,3760,3,1,1,1,0,0,0,0,2,0,0.5,1350 Northmount Dr NW,T2L 662
4550000,3640,3,1,2,1,0,0,0,1,0,0,1.0,1418 Crowchild Tr SW,T2S 084
4550000,2550,3,1,2,1,0,1,0,0,0,0,0.5,1965 Elbow Dr SW,T2E 296
4550000,5320,3,1,2,1,1,1,0,0,0,1,0.5,1605 Centre St N,T2G 532
4550000,5360,3,1,2,1,0,0,0,0,2,1,0.0,1197 Crowchild Tr SW,T2G 517
4550000,3520,3,1,1,1,0,0,0,0,0,1,0.5,1556 Crowchild Tr SW,T3E 483
4550000,8400,4,1,4,1,0,0,0,0,3,0,0.0,1377 Centre St N,T3E 902
4543000,4100,2,2,1,1,1,1,0,0,0,0,0.5,1972 Centre St N,T2S 907
4543000,4990,4,2,2,1,1,1,0,0,0,1,1.0,1026 Macleod Tr SE,T2S 641
4515000,3510,3,1,3,1,0,0,0,0,0,0,0.5,1858 Crowchild Tr SW,T3E 570
4515000,3450,3,1,2,1,0,1,0,0,1,0,0.5,1095 Macleod Tr SE,T2E 531
4515000,9860,3,1,1,1,0,0,0,0,0,0,0.5,1649 Northmount Dr NW,T2G 561
4515000,3520,2,1,2,1,0,0,0,0,0,1,0.5,1740 Elbow Dr SW,T2L 459
4480000,4510,4,1,2,1,0,0,0,1,2,0,0.5,1547 Macleod Tr SE,T2S 362
4480000,5885,2,1,1,1,0,0,0,1,1,0,0.0,1726 Northmount Dr NW,T3E 932
4480000,4000,3,1,2,1,0,0,0,0,2,0,0.5,1960 Macleod Tr SE,T2E 855
4480000,8250,3,1,1,1,0,0,0,0,0,0,1.0,1313 Northmount Dr NW,T2L 461
4480000,4040,3,1,2,1,0,0,0,0,1,0,0.5,1360 Crowchild Tr SW,T2S 253
4473000,6360,2,1,1,1,0,1,0,1,1,0,1.0,1079 Elbow Dr SW,T2G 479
4473000,3162,3,1,2,1,0,0,0,1,1,0,1.0,1896 Elbow Dr SW,T3E 772
4473000,3510,3,1,2,1,0,0,0,0,0,0,0.5,1504 Elbow Dr SW,T2S 322
4445000,3750,2,1,1,1,1,1,0,0,0,0,0.5,1668 Centre St N,T3E 158
4410000,3968,3,1,2,0,0,0,0,0,0,0,0.5,1551 Crowchild Tr SW,T2E 307
4410000,4900,2,1,2,1,0,1,0,0,0,0,0.5,1840 Northmount Dr NW,T2E 816
4403000,2880,3,1,2,1,0,0,0,0,0,1,0.5,1420 Crowchild Tr SW,T2E 747
4403000,4880,3,1,1,1,0,0,0,0,2,1,0.5,1278 Macleod Tr SE,T2E 233
4403000,4920,3,1,2,1,0,0,0,0,1,0,0.5,1751 Crowchild Tr SW,T2L 061
4382000,4950,4,1,2,1,0,0,0,1,0,0,0.5,1942 Centre St N,T3E 689
4375000,3900,3,1,2,1,0,0,0,0,0,0,0.0,1395 Northmount Dr NW,T2L 598
4340000,4500,3,2,3,1,0,0,1,0,1,0,1.0,1080 Centre St N,T2L 038
4340000,1905,5,1,2,0,0,1,0,0,0,0,0.5,1181 Northmount Dr NW,T3E 196
4340000,4075,3,1,1,1,1,1,0,0,2,0,0.5,1468 Crowchild Tr SW,T3E 843
4340000,3500,4,1,2,1,0,0,0,0,2,0,1.0,1464 Elbow Dr SW,T3E 723
4340000,6450,4,1,2,1,0,0,0,0,0,0,0.5,1480 Elbow Dr SW,T3E 310
4319000,4032,2,1,1,1,0,1,0,0,0,0,0.5,1139 Northmount Dr NW,T2S 264
4305000,4400,2,1,1,1,0,0,0,0,1,0,0.5,1939 Elbow Dr SW,T2S 166
4305000,10360,2,1,1,1,0,0,0,0,1,1,0.5,1176 Crowchild Tr SW,T2L 988
4277000,3400,3,1,2,1,0,1,0,0,2,1,0.5,1507 Crowchild Tr SW,T2E 489
4270000,6360,2,1,1,1,0,0,0,0,0,0,1.0,1149 Macleod Tr SE,T2L 069
